pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
platelet activation (I) (M32.0),0.000186011904761905,0.00204284313478993,0.66111695368651,2.1503576332993,0,21,ZYX|PFN1|PPP1CA|GNB2|GNAI2|POR|AKT1|PPP2R1A|TLN1|NUCB1|CORO1A|NR1H2|NRBP1
inflammatory response (M33),0.000191241155096577,0.00204284313478993,0.784926158546936,2.05919308875056,0,10,FCER1G|AIF1|STAB1|GPX1|TYROBP|CARD9|ARRB2|TNFSF13|TBC1D8|TLR4
immune activation - generic cluster (M37.0),0.000163907556138338,0.00204284313478993,0.4775857554226,2.46826232845312,0,227,SMPDL3A|ACSL1|SLC8A1|ANXA5|CR1|HK3|CSF2RB|GSN|LILRA5|FPR2|TUBG1|DOK3|ADAP2|NACC2|PKMYT1|UPP1|CDKN2C|EMILIN2|DYSF|MS4A4A|RNASE2|CD300C|BASP1|SLC27A2|STX11|CYFIP1|LGALS3|BCL6|DOCK5|LRRC4|SCD|BLVRB|CTSS|PYGL|PFKFB4|TLR1|LPCAT2|S100A8|NFE2|LYN|IGFBP7|RGL1|BTK|AQP9|RFC2|BRCA2|IMPA2|SLC22A4|OSCAR|ENTPD1|SIGLEC9|RBBP8|VNN2|CREB5|RHOU|RANBP1|FGD4|NAV1|F13A1|GAS2L3|NLRC4|DHCR24|CCNE1|MS4A7|PLXDC2|LY96|FCGR2C|PRRG4|F5|LRP1|RASGRP4|FCGR3A|SAMHD1|PRKAR2B|CLEC4D|SIRPB1|NRGN|KCNK5|MGST1|MCTP1|MYO7B|MBOAT2|NCF4|SAC3D1|MCM3|GAS2L1|CLEC12A|NUP37|MMP9|PRAM1|ANPEP|UNG|TLR7|SLC24A4|BST1|VNN1|MGAM|IL1R1|RGL4|KCNE3|LRRK2
enriched in neutrophils (I) (M37.1),0.000185528756957328,0.00204284313478993,0.643257231815612,2.31871649989652,0,32,FPR2|FPR1|MXD1|FCGR2A|BASP1|LRRC4|PYGL|PFKFB4|NFE2|SLC22A4|VNN2|CREB5|GLT1D1|FCGR3A|C5AR1|PTAFR|NCF4|RNF24|MGAM|RGL4|FFAR2|CDA|NLRP12|DGAT2|LRG1|LIN7A
endoplasmic reticulum (M37.2),0.000189071658158442,0.00204284313478993,0.766735234547403,2.17699261350917,0,13,ACSL1|WFS1|SORT1|UNC93B1|SCD|LPCAT2|TLR8|TBXAS1|DHCR24|MGST1|TLR7
complement and other receptors in DCs (M40),0.000191241155096577,0.00204284313478993,0.845112001888987,2.21708599536486,0,10,ITGAX|C1QA|C1QB|CD58|TLR8|SIRPA|CD86|TYROBP|LY96
cell division (stimulated CD4+ T cells) (M46),0.000187687687687688,0.00204284313478993,0.711371903964464,2.14656249381025,0,16,ZNRF1|SHCBP1|TYMS|RRM2|SLC27A2|CDT1|ZWINT|UHRF1|TOP2A|DHCR24|GNB4|TST|CDCA7
transcription regulation in cell development (M49),0.000186323830817962,0.00204284313478993,0.668877872302674,2.33522203064066,0,28,TYMS|GSN|LILRB1|ANK1|BASP1|SPTB|TIMP2|LYN|ASPM|PAK1|BRCA1|FES|PLXNB2|LST1|TYROBP|TAL1|STMN1|ECT2|VCAN|SEMA4A|HMGB2|RXRA|KLF4
TBA (M55),0.000188928773852258,0.00204284313478993,0.813869300104377,2.25623498154788,0,12,RHOG|ZYX|RARA|DOK3|SPI1|GRINA|MBOAT7|PDLIM7|LRP1|RASGRP4|PRKCD
TBA (M66),0.000188928773852258,0.00204284313478993,0.748773414965372,2.21575465155763,0,15,HMOX1|FCER1G|SLC31A2|ADAP2|CYBB|BTK|KYNU|SLC7A7|IFI30|CPVL|MAFB|CST3
enriched in myeloid cells and monocytes (M81),0.000185839063371121,0.00204284313478993,0.678527881749106,2.32650448503607,0,26,SLC8A1|CLU|SNCA|FCER1G|ITGA2B|BCL6|CD14|SPARC|ITGB3|SELP|CSF1R|PCSK6|PTGS1|CCR2|F5|PRAM1|TLR7|TLR4
transmembrane transport (I) (M87),0.000187687687687688,0.00204284313478993,0.768824735246868,2.31992623239301,0,16,VDR|SLC4A1|HK3|SLC11A1|HMOX1|SLC31A2|TLR2|AQP9|SLC22A4|DAPK1|CD36|SLC7A7|SLC15A3|TLR4|SLC14A1
cell cycle (III) (M103),0.000182748538011696,0.00204284313478993,0.537402867982963,2.04665495260246,0,40,E2F2|ESPL1|CCNB2|PKMYT1|BUB1|CDKN2C|MCM5|BUB1B|PCNA|PTTG1|E2F1|PLK1|CHEK1|MCM4|MCM2|CCNE1|MCM3|TFDP1|CDK4
enriched in monocytes (IV) (M118.0),0.000180212650928095,0.00204284313478993,0.663763378002041,2.62417592365218,0,47,ACSL1|TNFRSF1B|DOK3|NACC2|EMILIN2|DYSF|LGALS3|BCL6|DOCK5|MPP1|PGD|CTSS|TLR1|NAIP|EVI5|PAK1|LTBR|RHOU|MYO1F|DPYD|FGD4|LY96|F5|SAMHD1|CARD9|TNFSF13B|C1orf162|SMARCD3|SLC24A4|VNN1|MGAM|LRRK2
TBA (M136),0.000188928773852258,0.00204284313478993,0.755679496670754,2.23619098430783,0,15,COPE|NAPA|PNPLA6|GNB2|CAPN1|GNAI2|PPP2R1A|NUCB1|CTSD|DNM2|MAP2K2|NR1H2
enriched in activated dendritic cells (II) (M165),0.000186323830817962,0.00204284313478993,0.688776135110568,2.40469190489514,0,28,DSE|CSF2RB|SERPING1|IFNGR2|RBM47|PARP9|FAM20C|IFI27|DOCK4|HLX|DAPK1|MX2|PRRG4|PRKAR2B|IFIT3|MGST1|HERC5|BCL2A1|IFIT1|SIGLEC1|CSF2RA|RSAD2|IFIT2
respiratory electron transport chain (mitochondrion) (M219),0.000189071658158442,0.00204284313478993,0.777238952383687,2.37690762733402,0,17,COX6B1|COX5A|COX7B|UQCRC1|UQCR10|UQCRH|COX5B|COX8A|UQCRFS1|CYC1|COX6A1|UQCRC2|UQCRQ|COX7A2L
"transcription elongation, RNA polymerase II (M234)",0.000188928773852258,0.00204284313478993,0.866230054673057,2.40139117075781,0,12,UQCR10|POLR2L|NDUFB10|AURKAIP1|NDUFB11|POLR2E|MEA1|NDUFA3|UQCRQ|MIF|POLR2J
TBA (M243),0.000190114068441065,0.00204284313478993,0.764536901108831,2.06166844427254,0,11,PRELID1|BCAP31|PSMB3|SCAND1|NDUFB9|TBCB|NDUFB7|SRM
Monocyte surface signature (S4),0.000177967609894999,0.00204284313478993,0.613456925291881,2.67461366834445,0,78,SLC16A3|SLC11A1|LILRB1|ABCA1|LILRB2|PYCARD|FPR2|TNFRSF1B|FPR1|DYSF|FCGR2A|TLR2|LILRB3|TLR1|MBOAT7|SIGLEC9|VNN2|PECAM1|LTBR|CCR1|ASGR2|BRI3|CCR2|CD36|AGTRAP|NFAM1|CD163|SLC7A7|LRP1|ASGR1|MARCO|CD93|SIRPB1|MFSD1|C5AR1|MCTP1|PTAFR|P2RX1|CLEC12A|C1orf162|CD33|TNFSF12|SLC24A4|P2RY2|TLR4|MGAM|KCNE3|GLIPR1|ITGAM|MS4A6A|TMTC2|TNFRSF10B|TLR5|CLEC12B|ANO10
DC surface signature (S5),0.000180440274269217,0.00204284313478993,0.562851184968349,2.20476209224552,0,45,TFRC|CSF2RB|LAMP2|GRINA|GPR137B|CD58|CD151|PTGFRN|SLC6A6|CXCL16|AGPAT3|ADAM9|SRD5A3|PRRG4|MSR1|SPINT2|ITPRIPL2|PSEN2|SLAMF8|IL1R1|SIGLEC1|ALCAM|ACE|LHFPL2
T cell activation (III) (M7.4),0.000212179079142797,0.00209899506574698,-0.844424798644078,-2.42191410194689,0,13,KLF12|ZMYND11|ETS1|LEF1|ATP8B2|CAMK4|CD96|RORA|PRKCQ|NELL2|RASGRP1|LCK
enriched in NK cells (II) (M61.0),0.000213128729752771,0.00209899506574698,-0.771433793344127,-2.2674403265217,0,14,KLRF1|CD247|CD96|KIR2DL1|KLRB1|S1PR5|TGFBR3|KIR2DS4|KLRK1|IL2RB|KIR2DL3|KIR3DL1
enriched in T cells (I) (M7.0),0.000226757369614512,0.00210560414642047,-0.575832011120358,-2.42487538142368,0,55,CD247|TRBC1|ETS1|GATA3|BCL11B|LEF1|CD96|NLRC3|RORA|PRKCQ|ITK|NELL2|RASGRP1|LAT|ZAP70|KLRB1|GNLY|LCK|IL7R|CD3E|PRKCH|XCL2|SAMD3|GZMM|MAL|EOMES|CD2|GIMAP7|FLT3LG|UBASH3A|TIGIT
enriched in NK cells (I) (M7.2),0.000223363859727496,0.00210560414642047,-0.645523157145527,-2.58066414034449,0,43,MYBL1|KLRF1|CD247|STAT4|TBX21|CD96|NLRC3|RORA|PRKCQ|PTGDR|ITK|ZAP70|KLRB1|S1PR5|GNLY|KLRD1|TGFBR3|PRKCH|XCL2|HOPX|ARL4C|CTSW|SAMD3|SH2D2A|GZMM|KLRK1|IL2RB|EOMES|GIMAP7
regulation of signal transduction (M3),0.000366032210834553,0.00274377374419586,0.552235678455202,2.05439734871182,1,36,HMOX1|FPR1|ADAP2|TLR2|BCL6|TIMP2|S100A12|LYN|RGL1|TIAM2|PLXNB2|CCR1|NOD2|FGD4|CSF1R|HPSE|LRP1|SYK|PRKCD|C5AR1
cell junction (GO) (M4.13),0.000380228136882129,0.00274377374419586,0.741556358931922,1.99969856607608,1,11,LCP1|HCK|CTNNA1|PAK1|FES|TNS3|IFI30|EPB41L3|PRKCD|HOMER3
formyl peptide receptor mediated neutrophil response (M11.2),0.000382482310193154,0.00274377374419586,0.764809620784831,2.0064189072836,1,10,SECTM1|SLC11A1|FPR1|FCGR2A|PAK1|PILRA|NCF2|IGSF6|NCF1C|CAMK1
Ran mediated mitosis (M15),0.00038306837770542,0.00274377374419586,0.829811946915976,2.10788587829017,1,9,ESPL1|AURKB|BUB1B|TPX2|PLK1|RANBP1|RAN
regulation of localization (GO) (M63),0.000377857547704515,0.00274377374419586,0.713354097701159,1.97758346365622,1,12,NAPA|ARAP1|ARHGDIA|AKT1|STXBP2|MAP2K2|NR1H2|SNX17
platelet activation and degranulation (M85),0.000388349514563107,0.00274377374419586,0.799300672073897,1.94718601142269,1,8,TIMP1|SERPINA1|CLU|VWF|SPARC
viral sensing & immunity; IRF2 targets network (I) (M111.0),0.000378143316316884,0.00274377374419586,0.683586646815568,2.09050551284968,1,17,IFI35|AIF1|PSMB8|CTSS|CXCL16|FES|KYNU|TAP1|BST2|TNFSF13B|TLR7
enriched in monocytes (surface) (M118.1),0.000377857547704515,0.00274377374419586,0.723761381264403,2.00643487411644,1,12,SLC16A3|TNFRSF1B|LTBR|NFAM1|TNFSF13B|MCTP1|C1orf162|SLC24A4
TBA (M198),0.000382482310193154,0.00274377374419586,0.76219076834799,1.99954855039757,1,10,CEBPB|PHC2|LYN|LST1|PISD|CPPED1|PDLIM7|TSEN34
respiratory electron transport chain (mitochondrion) (M231),0.00038306837770542,0.00274377374419586,0.808379479060822,2.05344318618783,1,9,COX5A|NDUFB3|NDUFB4|NDUFB11|UQCRFS1|NDUFAB1|NDUFB1|NDUFA8
Resting dendritic cell surface signature (S10),0.000360165676211057,0.00274377374419586,0.49191400609704,1.95227180333654,1,48,ITGAX|GPR137B|CD151|STAB1|LPCAT2|PTGFRN|IFNGR1|TTYH3|ADAM9|SRD5A3|CD86|CSF1R|TMEM144|PLXDC2|IGSF6|SPINT2|MFSD1|ITPRIPL2|FZD1|PSEN2|SLAMF8|IL1R1|ACE|LHFPL2
enriched in NK cells (receptor activation) (M61.2),0.000424718623911659,0.00293688410151679,-0.768166383701189,-2.14792995441218,1,12,CD247|CD96|CARD11|PRKCQ|ITK|KIR2DL1|ZAP70|KLRD1|KLRK1|KIR2DL3|KIR3DL1|CD244
T cell activation (I) (M7.1),0.00045034902049088,0.00304923815957367,-0.573153770789002,-2.3596365058213,1,50,CD247|TRBC1|GATA3|IKZF1|BCL11B|LEF1|TCF7|TXK|CAMK4|NLRC3|RORA|PRKCQ|ITK|RASGRP1|ZAP70|PTPN22|ITPR3|LCK|IL7R|CD3E|PRKCH|RHOH|KLRK1|CD5|MS4A1|EOMES|CD2|SLAMF1|CCR7|TIGIT|THEMIS
enriched in B cells (I) (M47.0),0.000650477016478751,0.00431438837460396,-0.531268930812504,-1.97731697798135,2,32,AFF3|BTLA|TCL1A|FCRL1|PAX5|FCER2|FCRLA|BCL11A|MS4A1|IGHD|E2F5|CXCR5|FCRL2|ADAM28|EBF1|KLHL14|SPIB|BLK|CD79A
C-MYC transcriptional network (M4.12),0.000764964620386307,0.00469800840582119,0.738981466177716,1.93866074062929,3,10,TK1|KIF11|BCAT1|BIRC5|NME1|TOP2A|CDCA7
platelet activation (III) (M42),0.000766136755410841,0.00469800840582119,0.760184655253765,1.93101883584299,3,9,GNA15|FCER1G|VAV1|LYN|GNAQ|SYK|LCP2
complement activation (I) (M112.0),0.000760456273764259,0.00469800840582119,0.718304629478362,1.9369973978007,3,11,CR1|C2|C1QA|SERPING1|C1QB|C1R|C5AR1|CFD
enriched in membrane proteins (M124),0.000766136755410841,0.00469800840582119,0.758735202362314,1.92733693985138,3,9,SLC4A1|TGM2|SNCA|ALAS2|NEDD4L|C5AR1
enriched in monocytes (I) (M4.15),0.000956205775482884,0.00545205047424451,0.7371164117176,1.93376791445374,4,10,SLC31A2|HCK|LGALS3|FES|LGALS1|TNFSF13|EPB41L3|DPYSL2
E2F1 targets (Q4) (M10.1),0.000944643869261288,0.00545205047424451,0.656849658010675,1.94373578978962,4,15,PKMYT1|CIT|PCNA|MCM4|RANBP1|NASP|SLBP|STMN1|KNTC1
mismatch repair (I) (M22.0),0.000926268988514265,0.00545205047424451,0.58261532068832,1.9802425112708,4,25,BUB1|POLD3|GMNN|PCNA|ZWINT|CHEK1|RFC2|RACGAP1|RPA3|TMPO|RFC4|SMC2
lysosomal/endosomal proteins (M139),0.000956205775482884,0.00545205047424451,0.734423642060356,1.92670364145504,4,10,SLC11A1|SORT1|CTSB|NPC2|CTSS|CTSD|PSAP
mitotic cell cycle in stimulated CD4 T cells (M4.9),0.00114068441064639,0.0061787072243346,0.706708563907813,1.90572717077851,5,11,CENPE|CENPF|GMNN|RBBP8|EZH2|PLK4|NCAPH|DONSON
cell adhesion (M51),0.00113442994895065,0.0061787072243346,0.630532402999083,1.92825806449021,5,17,ITGA2B|VWF|GP9|ITGB3|SELP|TPM1|ESAM|ITGB5|PARVB|SLAMF7|ALOX12|GP1BA|ENG|JAM3|ARHGAP6
TBA (M192),0.00113357264311355,0.0061787072243346,0.704048403476461,1.95178591503919,5,12,NAPA|G6PD|ARHGDIA|MAP1S|TLN1|NBEAL2|ILK|NR1H2|OGDH
mitotic cell cycle - DNA replication (M4.4),0.00131480090157776,0.00690230582524272,0.617269096886765,1.97517360433697,6,20,MCM5|TPX2|CDT1|PCNA|MCM4|STIL|MCM2|PLK4|MCM3|CDC7|POLA1|MCM6|PRIM1|POLA2
platelet activation & blood coagulation (M199),0.00135922330097087,0.00690230582524272,0.780544213333789,1.90149317597467,6,8,VWF|GP6|GP9|SH3BGRL2|TTC7B|PCSK6|PRKAR2B|GP1BA
respiratory electron transport chain (mitochondrion) (M216),0.00134073932196897,0.00690230582524272,0.749082725635469,1.90281774672737,6,9,COX7B|NDUFS6|UQCR10|NDUFB10|NDUFB7|COX6A1
translation initiation (M227),0.00133868808567604,0.00690230582524272,0.726150915317758,1.9050007824689,6,10,ETFA|PSMD14|EIF2S2|EIF3J|NDUFA8|NUP37|EIF4H
"cell movement, Adhesion & Platelet activation (M30)",0.00170164492342598,0.00850822461712989,0.677496936437401,1.92361816679774,8,13,TNS1|GP6|MPP1|ITGB3|SELP|NAV1|TPM1|ESAM|ALOX12|HBEGF|PTK2|GAB1|CD9
enriched in antigen presentation (II) (M95.0),0.00187687687687688,0.00924219674219674,0.635573048652979,1.91783968513785,9,16,CD53|AIF1|ITGB2|SLA|HCLS1|SELL|FGL2|ITGAM|EVI2B|PTPRC
cell cycle (II) (M4.10),0.00193836014731537,0.00940249325190292,0.798069995217674,1.86615973983399,9,7,CCNB2|RRM2|CHEK1|BRCA1|CCNE1|STEAP3
cell division - E2F transcription network (M4.8),0.00207821651237483,0.00992369166881796,0.634747209220019,1.87833068493427,10,15,PCNA|ZWINT|MCM4|RANBP1|MCM2|NASP|MCM3|TIMELESS|MAD2L1|DNMT1
TBA (M131),0.00210687607737981,0.00992369166881796,0.737248578460494,1.87275668071784,10,9,TNS1|GMPR|HEMGN|TAL1|PRKAR2B|GFI1B|CMPK2|RGL4|ACTN1
lysosome (M209),0.00232603217677845,0.0107994351064714,0.790363769590994,1.84813995698692,11,7,SORT1|CTSB|GM2A|GNS|PSAP|CTSZ|FUCA1
DNA repair (M76),0.00246258761129002,0.0109635749817706,0.605487665058121,1.88605505074203,12,18,POLD3|PCNA|RFC2|BRCA2|BRCA1|FEN1|RPA3|RFC4|FANCI
innate antiviral response (M150),0.00245607406007935,0.0109635749817706,0.686813285137017,1.90400615862918,12,12,IRF7|PLSCR1|APOBEC3A|OASL|OAS3|TAP1|OAS1|IFIT1|RXRA|RSAD2|EIF2AK2
proteasome (M226),0.00245607406007935,0.0109635749817706,0.686055091564719,1.90190426971362,12,12,PSMD14|PSMA4|PSMA5|PSMA3|PSMC2|RAN|NUP37|PSMA6
Activated (LPS) dendritic cell surface signature (S11),0.00279694201006899,0.0122838669361138,0.540176947956418,1.86744918999429,14,27,CSF2RB|SLC31A2|LAMP2|CD58|SLC43A2|IFI6|IFI27|RNF144B|PRRG4|TNFSF13B|TMEM140|CD40|SIGLEC1
platelet activation (II) (M32.1),0.00297619047619048,0.0128968253968254,0.582661945573486,1.89517384981642,15,21,ZYX|PNPLA6|PFN1|GNB2|GNAI2|AKT1|TLN1|NBEAL2|DNM2|MAP2K2|AP2M1
type I interferon response (M127),0.00302286038163612,0.012926705579365,0.672870508570879,1.86535353931501,15,12,IRF7|PLSCR1|PARP9|STAT1|TAP1|IFITM1|HERC5|IFIT1|DDX60|RSAD2|USP18
TBA (M188),0.00330373735288045,0.0139443459699499,-0.786898399139103,-1.85138158627697,15,7,RNF144A|SYTL2|CARD11|KIF21A
TLR8-BAFF network (M25),0.00344761539934878,0.0143650641639533,0.718232350107866,1.82445171312631,17,9,BCL6|TLR8|TBXAS1|ASGR2|PCTP|ASGR1|TNFSF13B
TBA (M48),0.0035896467031929,0.0147675339055404,0.664600482017839,1.84242710234914,18,12,SPI1|SH3TC1|STAB1|LYN|TYROBP|TNFSF13|PTAFR|TLR4
activated dendritic cells (M67),0.00420730541212469,0.0169070302505787,0.690591340491914,1.81171298727573,21,10,IRF7|C2|PLSCR1|SERPING1|IGKC|CD38|DDX60|RSAD2
viral sensing & immunity; IRF2 targets network (II) (M111.1),0.00421375215475963,0.0169070302505787,0.711354328469126,1.80698018269492,21,9,PSMB10|PSMB8|CASP1|TAP1|BST2|TNFSF13B|IFIT2|USP18
TBA (M32.6),0.00434864813764417,0.0172354956674921,0.64887480524426,1.84235130258856,22,13,AKT1|PPP2R1A|NUCB1|DNM2|HMG20B|AP2M1|PSMD3|MLF2|HGS|TGFB1|PKN1|CDC37
enriched in T cells (II) (M223),0.00442851117671868,0.0173405558124527,-0.687864261256363,-1.87902028170889,20,11,CLEC2D|CD40LG|SLC38A1|TC2N|LBH|DENND2D|HOPX
enriched in antigen presentation (III) (M95.1),0.00466019417475728,0.0180305131761442,0.737258178443738,1.79604354409938,23,8,CD53|AIF1|ITGB2|LAPTM5|EVI2B|PTPRC
NK cell surface signature (S1),0.00498699045967043,0.0190679046987399,-0.470764616248428,-1.75212743368464,22,32,KLRF1|IL18R1|PTGDR|NCAM1|NCR1|ADRB2|KIR2DL1|KLRC3|S1PR5|TGFBR3|KIR2DS4|SLCO4C1|KLRK1|IL2RB|KIR2DL3|KIR3DL1|ELOVL6
platelet activation - actin binding (M196),0.00551330798479087,0.020835175523919,0.662363419457166,1.78614499647402,28,11,TPM4|ITGA2B|ITGB3|ABLIM3|TPM1|ITGB5|PDE5A|ASAP2|ARHGAP6|MFAP3L
Rho GTPase cycle (M4.14),0.00643024162120031,0.023748051441933,0.826079579197421,1.71766848986608,32,5,E2F2|ARHGAP11A|RACGAP1|ARHGAP19|ECT2
enriched in neutrophils (II) (M163),0.00642357831097676,0.023748051441933,0.641873704243615,1.77942318879018,33,12,DENND3|NPL|HSPA6|IMPA2|MBOAT7|TYROBP|FRAT2|CFD|BEST1
respiratory electron transport chain (mitochondrion) (M238),0.00661750803554547,0.0241650574331717,0.638765201774143,1.81364708881528,34,13,NDUFA6|UQCRH|NDUFA2|NDUFA3|NDUFS7|UQCRQ|NDUFB6|NDUFA4|NDUFS4|NDUFS8|NDUFB2
"regulation of transcription, transcription factors (M213)",0.00679549798258654,0.0245392982704514,-0.605813419695391,-1.81842389413276,31,15,CREBZF|CLK4|CLK1|BDP1|BTAF1|CCNT2|ZDHHC17|PPP1R12A|DUSP10|ARID4B|ZNF700|MED23
enriched in monocytes (III) (M73),0.00798479087452472,0.0282071416763101,0.649027241955002,1.75018234210959,41,11,CEBPB|BCL6|TIMP2|RIN2|CCR1|PLXDC2|MAML3
TBA (M193),0.00794727660399302,0.0282071416763101,0.746357112951515,1.74523739029802,40,7,GMPR|SPTB|MGLL|CTTN|PBX1
enriched in dendritic cells (M168),0.00825825825825826,0.0288595046659563,0.583827917808298,1.76169891476235,43,16,CTSB|EMILIN2|CA2|PGD|RRAGD|ADAM9|FAM20C|IL1R1|CAPG|DAB2|B3GNT5
